Lat,Long_,Combined_Key,Population,Total Deaths
34.13697363,-87.88704173,"Marion, Alabama, US",29709,110074
34.36975964,-86.30486727,"Marshall, Alabama, US",96774,264906
30.78472347,-88.20842409,"Mobile, Alabama, US",413210,1133115
31.56729412,-87.36995001,"Monroe, Alabama, US",20733,52838
32.2206831,-86.20969272,"Montgomery, Alabama, US",226486,670974
34.45500589,-86.85475946,"Morgan, Alabama, US",119679,337517
32.64048341,-87.29770589,"Perry, Alabama, US",8923,31995
33.28094866,-88.08818103,"Pickens, Alabama, US",19930,72735
31.80396383,-85.9408295,"Pike, Alabama, US",33114,89821
33.29526734,-85.45708831,"Randolph, Alabama, US",22722,53711
32.28725256,-85.18415324,"Russell, Alabama, US",57961,56329
33.26879845,-86.66232561,"Shelby, Alabama, US",217702,305008
33.71902176,-86.31029372,"St. Clair, Alabama, US",89512,282916
32.59117397,-88.19916205,"Sumter, Alabama, US",12427,38662
33.37823223,-86.16886178,"Talladega, Alabama, US",79978,241691
32.86698258,-85.79833053,"Tallapoosa, Alabama, US",40367,180937
33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",209355,540837
0.0,0.0,"Unassigned, Alabama, US",0,5312
33.80270512,-87.30027177,"Walker, Alabama, US",63521,317520
31.4092794,-88.20689944,"Washington, Alabama, US",16326,43136
31.98773215,-87.30891118,"Wilcox, Alabama, US",10373,33831
34.15030532,-87.37325922,"Winston, Alabama, US",23629,88241
55.32222414,-161.9722021,"Aleutians East, Alaska, US",3337,2426
52.3233,-174.1596,"Aleutians West, Alaska, US",5634,1382
61.14998174,-149.14269860000005,"Anchorage, Alaska, US",288000,328819
60.90980451,-159.8561831,"Bethel, Alaska, US",18386,26772
58.62403337,-156.21405890000003,"Bristol Bay plus Lake and Peninsula, Alaska, US",1592,471
61.16666,-149.9,"Chugach, Alaska, US",6751,6516
60.3886,-162.8905196,"Copper River, Alaska, US",2699,4208
63.67264044,-150.0076108,"Denali, Alaska, US",2097,709
59.79603738,-158.23819419999995,"Dillingham, Alaska, US",4916,6364
64.80726247,-146.5692662,"Fairbanks North Star,Alaska,US",96849,85558
59.09893571,-135.4679843,"Haines, Alaska, US",2530,498
58.45031811,-134.200436,"Juneau, Alaska, US",31974,13174
60.24429722,-151.53888840000005,"Kenai Peninsula,Alaska,US",58708,61665
55.57445008,-130.975561,"Ketchikan Gateway, Alaska, US",13901,11939
57.65529415,-153.7493579,"Kodiak Island, Alaska, US",12998,7382
62.15429159999999,-163.39678830000005,"Kusilvak, Alaska, US",8314,7601
62.31305045,-149.5741743,"Matanuska-Susitna,Alaska,US",108317,133831
64.90320724,-164.0353804,"Nome, Alaska, US",10004,2514
69.31479216,-153.4836093,"North Slope, Alaska, US",9832,7663
67.04919196,-159.7503946,"Northwest Arctic, Alaska, US",7621,8507
57.13978948,-132.9540995,"Petersburg, Alaska, US",3266,3344
55.76261984,-133.0511621,"Prince of Wales-Hyder, Alaska, US",6203,4986
57.24124555,-135.3206587,"Sitka, Alaska, US",8493,4056
59.56149996,-135.3337748,"Skagway, Alaska, US",1183,7
63.87692095,-143.2127643,"Southeast Fairbanks, Alaska, US",6893,10841
0.0,0.0,"Unassigned, Alaska, US",0,345
56.3202004,-132.05837309999998,"Wrangell, Alaska, US",2502,511
59.8909808,-140.36014509999998,"Yakutat, Alaska, US",579,2836
65.50815459,-151.3907387,"Yukon-Koyukuk, Alaska, US",5230,6630
-14.271,-170.132,"American Samoa, US",55641,10804
35.39465006,-109.4892383,"Apache, Arizona, US",71887,455177
31.87934684,-109.7516088,"Cochise, Arizona, US",125922,374072
35.83883429,-111.7707178,"Coconino, Arizona, US",143476,363133
33.80190085,-110.8132779,"Gila, Arizona, US",54018,263654
32.93166885,-109.8882178,"Graham, Arizona, US",38837,115415
33.21498827,-109.2405279,"Greenlee, Arizona, US",9498,20378
33.72854224,-113.9810029,"La Paz, Arizona, US",21108,95097
33.34835867,-112.4918154,"Maricopa, Arizona, US",4485414,11876235
35.70471703,-113.7577902,"Mohave, Arizona, US",212181,975721
35.3997715,-110.3218983,"Navajo, Arizona, US",110924,643812
32.0971334,-111.7890033,"Pima, Arizona, US",1047279,2695855
32.90525627,-111.3449483,"Pinal, Arizona, US",462789,1095436
31.52508998,-110.8479088,"Santa Cruz, Arizona, US",46498,177177
0.0,0.0,"Unassigned, Arizona, US",0,637
34.59933926,-112.5538588,"Yavapai, Arizona, US",235099,759005
32.76895712,-113.90666740000002,"Yuma, Arizona, US",213787,878898
34.29145151,-91.37277296,"Arkansas, Arkansas, US",17486,54023
33.19153461,-91.7698471,"Ashley, Arkansas, US",19657,46457
36.28784385,-92.33782872,"Baxter, Arkansas, US",41932,160674
36.33644656,-94.25680817,"Benton, Arkansas, US",279141,571288
36.3084504,-93.09374925,"Boone, Arkansas, US",37432,117524
33.46755808,-92.15980837,"Bradley, Arkansas, US",10763,36112
33.55598792,-92.49974403,"Calhoun, Arkansas, US",5189,6730
36.34038560000001,-93.54270261,"Carroll, Arkansas, US",28380,69074
33.26458973,-91.29539209,"Chicot, Arkansas, US",10118,44090
34.04613432,-93.17484713,"Clark, Arkansas, US",22320,53266
36.36826212,-90.4148172,"Clay, Arkansas, US",14551,62886
35.53864922,-92.02640019,"Cleburne, Arkansas, US",24919,87573
33.89723187,-92.18537045,"Cleveland, Arkansas, US",7956,27851
33.21230701,-93.22642793,"Columbia, Arkansas, US",23457,67151
35.26205537,-92.70506566,"Conway, Arkansas, US",20846,43372
35.83018283,-90.63235729,"Craighead, Arkansas, US",110332,228189
35.58928601,-94.2446814,"Crawford, Arkansas, US",63257,163975
35.21247318,-90.30839406,"Crittenden, Arkansas, US",47955,149298
35.29631396,-90.77185818,"Cross, Arkansas, US",16419,60767
33.97042763,-92.65167437,"Dallas, Arkansas, US",7009,20906
33.83011025,-91.25500948,"Desha, Arkansas, US",11361,27951
33.59035001,-91.71777921,"Drew, Arkansas, US",18219,48930
35.14719007,-92.33717519,"Faulkner, Arkansas, US",126007,210437
35.51202821,-93.89299569,"Franklin, Arkansas, US",17715,48695
36.38177105,-91.81729127,"Fulton, Arkansas, US",12477,60297
34.57692074,-93.14921604,"Garland, Arkansas, US",99386,344051
34.29017991,-92.42320562,"Grant, Arkansas, US",18265,41080
36.11735460000001,-90.55832668,"Greene, Arkansas, US",45325,112461
33.73325583,-93.66935133,"Hempstead, Arkansas, US",21532,40158
34.31709259,-92.95396325,"Hot Spring, Arkansas, US",33771,96993
34.09007427,-93.9934871,"Howard, Arkansas, US",13202,34790
35.74242707,-91.57001641,"Independence, Arkansas, US",37825,147570
36.09604046,-91.90847954,"Izard, Arkansas, US",13629,48054
35.59802983,-91.21494602,"Jackson, Arkansas, US",16719,43352
34.26767081,-91.92619839,"Jefferson, Arkansas, US",66824,207267
35.56759135,-93.46036368,"Johnson, Arkansas, US",26578,54830
33.24116713,-93.60677071,"Lafayette, Arkansas, US",6624,18342
36.04188196,-91.10867198,"Lawrence, Arkansas, US",16406,55680
34.78498904,-90.78383866,"Lee, Arkansas, US",8857,43914
33.95317155,-91.74002806,"Lincoln, Arkansas, US",13024,50614
33.70375665,-94.23468591,"Little River, Arkansas, US",12259,66865
35.21413234,-93.71951016,"Logan, Arkansas, US",21466,45506
34.75392199,-91.88742357,"Lonoke, Arkansas, US",73309,161770
36.01038185,-93.72524943,"Madison, Arkansas, US",16576,38071
36.26844485,-92.68451899,"Marion, Arkansas, US",16694,53827
33.31403423,-93.89285258,"Miller, Arkansas, US",43257,103877
35.76271485,-90.05194370000002,"Mississippi, Arkansas, US",40651,144125
34.6815935,-91.20540287,"Monroe, Arkansas, US",6701,22419
34.53704874,-93.65824478,"Montgomery, Arkansas, US",8986,39482
33.66340119,-93.30632432,"Nevada, Arkansas, US",8252,32121
35.91947491,-93.21612969,"Newton, Arkansas, US",7753,34918
33.58839816,-92.87795984,"Ouachita, Arkansas, US",23382,73046
34.9459153,-92.94372564,"Perry, Arkansas, US",10455,21480
34.43268455,-90.84800154,"Phillips, Arkansas, US",17782,63791
34.16250414,-93.65789349,"Pike, Arkansas, US",10718,29336
35.57433534,-90.66268713,"Poinsett, Arkansas, US",23528,90555
34.48254879,-94.22728802,"Polk, Arkansas, US",19964,96106
35.44871474,-93.03212219,"Pope, Arkansas, US",64072,140556
34.83624419,-91.55162157,"Prairie, Arkansas, US",8062,27793
34.77054088,-92.31355101,"Pulaski, Arkansas, US",391911,820581
36.3415714,-91.02455531,"Randolph, Arkansas, US",17958,61982
34.64916145,-92.67583224,"Saline, Arkansas, US",122437,226417
34.85588887,-94.0632176,"Scott, Arkansas, US",10281,26234
35.9109364,-92.69936482,"Searcy, Arkansas, US",7881,28183
35.19605503,-94.27162713,"Sebastian, Arkansas, US",127827,353107
33.99780401,-94.2424869,"Sevier, Arkansas, US",17007,48065
36.16258158,-91.47819342,"Sharp, Arkansas, US",17442,68911
35.02201976,-90.74828138,"St. Francis, Arkansas, US",24994,61266
35.86251946,-92.15684085,"Stone, Arkansas, US",12506,44617
0.0,0.0,"Unassigned, Arkansas, US",0,125
33.16887091,-92.59746952,"Union, Arkansas, US",38682,129810
35.58095779,-92.51295036,"Van Buren, Arkansas, US",16545,37558
35.976844,-94.21800746,"Washington, Arkansas, US",239187,439686
35.25688493,-91.74908296,"White, Arkansas, US",78753,187197
35.18902527,-91.2439489,"Woodruff, Arkansas, US",6320,18967
35.00292371,-93.41171338,"Yell, Arkansas, US",21341,76967
37.64629437,-121.8929271,"Alameda, California, US",1671329,1357082
38.44583082,-120.65696,"Amador, California, US",39752,58876
39.66727762,-121.6005252,"Butte, California, US",219186,273706
38.20537103,-120.552913,"Calaveras, California, US",45905,77047
39.17881957,-122.2331726,"Colusa, California, US",21547,15745
37.91923498,-121.9289527,"Contra Costa, California, US",1153526,930862
41.74228275,-123.8974063,"Del Norte, California, US",27812,29352
38.77965956,-120.5233166,"El Dorado, California, US",192843,138169
36.75733899,-119.6466953,"Fresno, California, US",999101,1902474
39.59875897,-122.3938452,"Glenn, California, US",28393,29696
40.69923009,-123.876044,"Humboldt, California, US",135558,88721
33.0393082,-115.3669042,"Imperial, California, US",181215,712501
36.51112084,-117.41119779999998,"Inyo, California, US",18039,40163
35.34329425,-118.7277796,"Kern, California, US",900202,1599756
36.07409056,-119.8159973,"Kings, California, US",152940,302652
39.10124298,-122.7536244,"Lake, California, US",64386,86537
40.67311306,-120.59350990000002,"Lassen, California, US",30573,37396
34.30828379,-118.2282411,"Los Angeles, California, US",10039107,24114001
37.21513971,-119.76655890000002,"Madera, California, US",157327,255274
38.07122463,-122.7210631,"Marin, California, US",258826,228723
37.57978556,-119.9073334,"Mariposa, California, US",17203,18966
39.4381191,-123.3911313,"Mendocino, California, US",86749,80541
37.18922369,-120.7209035,"Merced, California, US",277680,559016
41.58965602,-120.7244817,"Modoc, California, US",8841,5416
37.93899289,-118.8872409,"Mono, California, US",14444,4386
36.21862405,-121.2413397,"Monterey, California, US",434061,503798
38.50735751,-122.332839,"Napa, California, US",137744,96875
39.30394768,-120.7627281,"Nevada, California, US",99755,83251
33.70147516,-117.76459979999998,"Orange, California, US",3175692,5099694
39.06167234,-120.7240569,"Placer, California, US",398329,399897
40.00355989,-120.8395236,"Plumas, California, US",18807,7491
33.74314981,-115.9933578,"Riverside, California, US",2470546,4637284
38.45106826,-121.3425374,"Sacramento, California, US",1552058,2148685
36.60308176,-121.069975,"San Benito, California, US",62808,69900
34.84060306,-116.1774685,"San Bernardino, California, US",2180085,5187328
33.03484597,-116.7365326,"San Diego, California, US",3338330,3823439
37.75215114,-122.4385672,"San Francisco, California, US",881549,631515
37.93433732,-121.2730061,"San Joaquin, California, US",762148,1561443
35.38822029,-120.4039028,"San Luis Obispo, California, US",283111,318921
37.4228808,-122.32755459999998,"San Mateo, California, US",766573,547775
34.65329488,-120.0188492,"Santa Barbara, California, US",446499,488978
37.23104908,-121.6970462,"Santa Clara, California, US",1927852,1772574
37.05580291,-122.0066524,"Santa Cruz, California, US",273213,191563
40.76391419,-122.0396884,"Shasta, California, US",180080,343600
39.57713498,-120.52007009999998,"Sierra, California, US",3005,1704
41.59198861,-122.5407434,"Siskiyou, California, US",43539,46429
38.26827353,-121.9357113,"Solano, California, US",447643,301819
38.52746429,-122.8862506,"Sonoma, California, US",494336,358923
37.55862499,-120.9970722,"Stanislaus, California, US",550660,1184638
39.03417539,-121.6945899,"Sutter, California, US",96971,147389
40.12570935,-122.2370171,"Tehama, California, US",65084,112494
40.64917670000001,-123.114713,"Trinity, California, US",12285,11264
36.22026558,-118.8020203,"Tulare, California, US",466195,1002885
38.02644018,-119.9525093,"Tuolumne, California, US",54478,104812
0.0,0.0,"Unassigned, California, US",0,394
34.44465746,-119.0910613,"Ventura, California, US",846006,1041284
38.68278902,-121.9018288,"Yolo, California, US",220500,239888
39.26255932,-121.3535644,"Yuba, California, US",78668,75310
39.87432092,-104.3362578,"Adams, Colorado, US",517421,933158
37.57250606,-105.7885451,"Alamosa, Colorado, US",16233,44006
39.64977461,-104.3353617,"Arapahoe, Colorado, US",656590,932412
37.19474156,-107.0476867,"Archuleta, Colorado, US",14029,9016
37.31940883,-102.5603223,"Baca, Colorado, US",3581,7777
37.95474293,-103.0720195,"Bent, Colorado, US",5577,30346
40.09313619,-105.3546767,"Boulder, Colorado, US",326196,281609
39.95998787,-105.0566324,"Broomfield, Colorado, US",70465,91102
38.74745778,-106.19265729999998,"Chaffee, Colorado, US",20356,36790
38.82777431,-102.6032558,"Cheyenne, Colorado, US",1831,7150
39.68864463,-105.6463118,"Clear Creek, Colorado, US",9700,7048
37.201606,-106.19174879999998,"Conejos, Colorado, US",8205,32743
37.27732493,-105.4276548,"Costilla, Colorado, US",3887,10061
38.32608609,-103.7844965,"Crowley, Colorado, US",6061,20900
38.10883162,-105.3683478,"Custer, Colorado, US",5068,11253
38.86246243,-107.8631342,"Delta, Colorado, US",31162,91084
39.76018276,-104.8725695,"Denver, Colorado, US",727211,1054981
37.75208676,-108.5211585,"Dolores, Colorado, US",2055,4046
39.33133796,-104.930001,"Douglas, Colorado, US",351154,313803
39.62754308,-106.6933637,"Eagle, Colorado, US",55127,28041
38.83240149,-104.5251411,"El Paso, Colorado, US",720403,1171077
39.28656773,-104.1358721,"Elbert, Colorado, US",26729,25638
38.47362326,-105.4399667,"Fremont, Colorado, US",47839,113455
39.59921777,-107.902708,"Garfield, Colorado, US",60061,63482
39.85646523,-105.5252597,"Gilpin, Colorado, US",6243,3470
40.10603347,-106.1178042,"Grand, Colorado, US",15734,15904
38.66611652,-107.0320729,"Gunnison, Colorado, US",17462,10594
37.68473101,-104.9612585,"Huerfano, Colorado, US",6897,23405
40.66593870000001,-106.3408905,"Jackson, Colorado, US",1392,14
39.58635604,-105.2517692,"Jefferson, Colorado, US",582881,995911
38.43260896,-102.7392145,"Kiowa, Colorado, US",1406,3865
39.30497777,-102.6022199,"Kit Carson, Colorado, US",7097,20708
37.28632032,-107.8429014,"La Plata, Colorado, US",56221,57611
39.20278823,-106.3555697,"Lake, Colorado, US",8127,1064
40.66671597,-105.4625784,"Larimer, Colorado, US",356899,345698
37.3153406,-104.0376458,"Las Animas, Colorado, US",14506,25971
38.98749519,-103.5136649,"Lincoln, Colorado, US",5701,6439
40.7249637,-103.110817,"Logan, Colorado, US",22409,80466
39.01787888,-108.469799,"Mesa, Colorado, US",154210,366161
37.66954283,-106.9281698,"Mineral, Colorado, US",769,1625
40.61810999,-108.2070876,"Moffat, Colorado, US",13283,35354
37.33859579,-108.5958857,"Montezuma, Colorado, US",26183,48909
38.40214114,-108.26390220000002,"Montrose, Colorado, US",42758,106380
40.26279810000001,-103.8093302,"Morgan, Colorado, US",29068,110018
37.9014485,-103.7173385,"Otero, Colorado, US",18278,86090
38.14717457,-107.7675136,"Ouray, Colorado, US",4952,4505
39.120926,-105.7182065,"Park, Colorado, US",18845,12529
40.59414277,-102.3577703,"Phillips, Colorado, US",4265,13615
39.21720112,-106.9310027,"Pitkin, Colorado, US",17767,5591
37.95544985,-102.3926052,"Prowers, Colorado, US",12172,32917
38.17359144,-104.5127437,"Pueblo, Colorado, US",168424,542187
39.97913541,-108.2179009,"Rio Blanco, Colorado, US",6324,8296
37.5836865,-106.3847838,"Rio Grande, Colorado, US",11267,27881
40.48596505,-106.9905548,"Routt, Colorado, US",25638,22699
38.08054629,-106.282466,"Saguache, Colorado, US",6824,8079
38.00450883,-108.4020725,"San Miguel, Colorado, US",8179,4170
40.87595412,-102.3519227,"Sedgwick, Colorado, US",2248,6025
39.63803232,-106.1150762,"Summit, Colorado, US",31011,10227
38.88133511,-105.1614893,"Teller, Colorado, US",25388,35603
0.0,0.0,"Unassigned, Colorado, US",0,1228
39.97015535,-103.202587,"Washington, Colorado, US",4908,19422
40.55499405,-104.3929621,"Weld, Colorado, US",324492,502454
40.00346839,-102.4258673,"Yuma, Colorado, US",10019,18123
41.26809896,-73.3881171,"Fairfield, Connecticut, US",943332,2344752
41.80283011,-72.73103891,"Hartford, Connecticut, US",891720,2622624
41.7937534,-73.2451475,"Litchfield, Connecticut, US",180333,349790
41.45949668,-72.53714864,"Middlesex, Connecticut, US",162436,394020
41.4080325,-72.93620426,"New Haven, Connecticut, US",854757,2288771
41.48896435,-72.10430976,"New London, Connecticut, US",265206,490025
41.85853803,-72.3308481,"Tolland, Connecticut, US",150721,206492
0.0,0.0,"Unassigned, Connecticut, US",0,4074
41.82972709,-71.98182316,"Windham, Connecticut, US",116782,210562
39.08646628,-75.56884914,"Kent, Delaware, US",180786,446429
39.57992638,-75.64054974,"New Castle, Delaware, US",558753,1019458
38.66143781,-75.39031349,"Sussex, Delaware, US",234225,623100
0.0,0.0,"Unassigned, Delaware, US",0,155
38.90417773,-77.01655992,"District of Columbia,District of Columbia,US",705749,1140001
29.67866525,-82.35928158,"Alachua, Florida, US",269043,406185
30.33060121,-82.28467476,"Baker, Florida, US",29210,85908
30.26548745,-85.62122584,"Bay, Florida, US",174705,511201
29.95079741,-82.16611613,"Bradford, Florida, US",28201,88816
28.29409504,-80.73091022,"Brevard, Florida, US",601942,1308601
26.15184651,-80.48725556,"Broward, Florida, US",1952778,3891452
30.40666734,-85.19394153,"Calhoun, Florida, US",14105,60891
26.90131002,-81.92949121,"Charlotte, Florida, US",188910,542753
28.84804315,-82.47614748,"Citrus, Florida, US",149657,613750
29.98319144,-81.85609986,"Clay, Florida, US",219252,515580
26.11091986,-81.34687065,"Collier, Florida, US",384902,678552
30.22509788,-82.62160164,"Columbia, Florida, US",71686,245871
27.18677893,-81.80941373,"DeSoto,Florida,US",38001,104877
29.60631086,-83.15724673,"Dixie, Florida, US",16826,40700
30.33225875,-81.66976468,"Duval, Florida, US",957755,2066111
30.67652764,-87.37284571,"Escambia, Florida, US",318316,863379
29.45933576,-81.31508595,"Flagler, Florida, US",115081,202544
29.83791238,-84.82731662,"Franklin, Florida, US",12125,29780
30.57796289,-84.61915825,"Gadsden, Florida, US",45660,133001
29.72856978,-82.79880657,"Gilchrist, Florida, US",18582,58512
26.95635849,-81.18996211,"Glades, Florida, US",13811,23219
29.93543004,-85.24270990000002,"Gulf, Florida, US",13639,52161
30.49673973,-82.94998918,"Hamilton, Florida, US",14428,33720
27.49293939,-81.80956574,"Hardee, Florida, US",26937,71441
26.55386945,-81.16469006,"Hendry, Florida, US",42022,107221
28.55364461,-82.42700204,"Hernando, Florida, US",193920,676490
27.34254618,-81.34071957,"Highlands, Florida, US",106221,446068
27.9276559,-82.32013172,"Hillsborough, Florida, US",1471968,2422173
30.86747479,-85.81319222,"Holmes, Florida, US",19617,58638
27.69308961,-80.60556721,"Indian River, Florida, US",159923,417370
30.7954597,-85.21500423,"Jackson, Florida, US",46414,188916
30.43669112,-83.89442308,"Jefferson, Florida, US",14246,37008
29.98484137,-83.18166636,"Lafayette, Florida, US",8422,37036
28.76202069,-81.7125123,"Lake, Florida, US",367118,930410
26.58410348,-81.88399313,"Lee, Florida, US",770577,1403218
30.45955727,-84.27491114,"Leon, Florida, US",293582,423049
29.31829741,-82.74007147,"Levy, Florida, US",41503,90719
30.23766008,-84.8829258,"Liberty, Florida, US",8354,20030
30.44396917,-83.47398594,"Madison, Florida, US",18493,60198
27.47196942,-82.31831044,"Manatee, Florida, US",403253,942645
29.21227113,-82.05803627,"Marion, Florida, US",365579,1321718
27.0772071,-80.43109784,"Martin, Florida, US",161000,421504
25.6112362,-80.55170587,"Miami-Dade, Florida, US",2716940,7620229
25.20904673,-81.07812416,"Monroe, Florida, US",74228,74635
30.61037141,-81.80297522,"Nassau, Florida, US",88625,181634
30.69143028,-86.59267105,"Okaloosa, Florida, US",210738,447813
27.386336199999995,-80.88944347,"Okeechobee, Florida, US",42168,114888
28.51367621,-81.31799498,"Orange, Florida, US",1393452,1783748
28.06312234,-81.14882926,"Osceola, Florida, US",375751,708833
26.64676272,-80.46536002,"Palm Beach, Florida, US",1496770,3533207
28.30810945,-82.40227529,"Pasco, Florida, US",553947,1159150
27.93130349,-82.72239666,"Pinellas, Florida, US",974996,2222439
27.95027105,-81.69732947,"Polk, Florida, US",724777,1887892
29.60779729,-81.74230285,"Putnam, Florida, US",74521,245592
30.69341450000001,-87.02458128,"Santa Rosa, Florida, US",184313,386053
27.18546175,-82.33174248,"Sarasota, Florida, US",433742,1086571
28.7158582,-81.24060348,"Seminole, Florida, US",471826,698438
29.90096506,-81.43589967,"St. Johns, Florida, US",264672,343590
27.37763908,-80.47106649,"St. Lucie, Florida, US",328297,818329
28.70181754,-82.0794267,"Sumter, Florida, US",132420,368277
30.19746066,-82.99099670000003,"Suwannee, Florida, US",44417,200031
30.04848048,-83.60445406,"Taylor, Florida, US",21569,63374
0.0,0.0,"Unassigned, Florida, US",0,3330730
30.04412971,-82.37497443,"Union, Florida, US",15237,82035
29.05858895,-81.18263252,"Volusia, Florida, US",553284,1210421
30.16548905,-84.39895211,"Wakulla, Florida, US",33739,76580
30.64204028,-86.16935664,"Walton, Florida, US",74071,127800
30.61359259,-85.66002461,"Washington, Florida, US",25473,69637
31.74847232,-82.28909114,"Appling, Georgia, US",18386,90013
31.29633502,-82.87545866,"Atkinson, Georgia, US",8165,31786
31.55456473,-82.45936528,"Bacon, Georgia, US",11164,51925
31.32669878,-84.44218806,"Baker, Georgia, US",3038,11209
33.06882326,-83.24701748,"Baldwin, Georgia, US",44890,168800
34.35607081,-83.49644388,"Banks, Georgia, US",19234,58061
33.99148694,-83.71436292,"Barrow, Georgia, US",83240,176759
34.23732119,-84.83887523,"Bartow, Georgia, US",107738,306555
31.76095874,-83.22145359,"Ben Hill, Georgia, US",16700,87289
31.27590016,-83.22529920000002,"Berrien, Georgia, US",19397,57972
32.80904227,-83.70489165,"Bibb, Georgia, US",153159,547893
32.43829035,-83.33035166,"Bleckley, Georgia, US",12873,67984
31.19576557,-81.97743999,"Brantley, Georgia, US",19109,67750
30.83922642,-83.58303423,"Brooks, Georgia, US",15457,62745
32.00979311,-81.44002948,"Bryan, Georgia, US",39627,61015
32.39577406,-81.74811421,"Bulloch, Georgia, US",79608,170314
33.05917989,-81.99928721,"Burke, Georgia, US",22383,74185
33.283094500000004,-83.95435040000002,"Butts, Georgia, US",24936,111891
31.53169785,-84.62725131,"Calhoun, Georgia, US",6189,18224
30.92951916,-81.66601818,"Camden, Georgia, US",54666,76131
32.40209349,-82.07702563,"Candler, Georgia, US",10803,72037
33.58138199,-85.07976677,"Carroll, Georgia, US",119992,307540
34.89872298,-85.13757014,"Catoosa, Georgia, US",67580,109499
30.78371028,-82.13951596,"Charlton, Georgia, US",13392,43127
32.00043026,-81.12489526,"Chatham, Georgia, US",289430,607464
32.34341231,-84.78809239,"Chattahoochee, Georgia, US",10907,15379
34.47197698,-85.34535662,"Chattooga, Georgia, US",24789,91745
34.24393976,-84.47431861,"Cherokee, Georgia, US",258773,420038
33.95436462,-83.37124007,"Clarke, Georgia, US",128331,164284
31.62221166,-84.97713865,"Clay, Georgia, US",2834,4491
33.54187245,-84.35594188,"Clayton, Georgia, US",292256,656591
30.91395822,-82.70432472,"Clinch, Georgia, US",6618,30120
33.94243204,-84.5761255,"Cobb, Georgia, US",760141,1304737
31.54892966,-82.85492059999999,"Coffee, Georgia, US",43273,200042
31.18810588,-83.7677946,"Colquitt, Georgia, US",45600,165420
33.54534185,-82.263524,"Columbia, Georgia, US",156714,263024
31.16068491,-83.42947229,"Cook, Georgia, US",17270,52417
33.35334302,-84.76129976,"Coweta, Georgia, US",148509,312169
32.71391813,-83.98061238,"Crawford, Georgia, US",12404,34975
31.92289565,-83.76811843,"Crisp, Georgia, US",22372,95705
34.854916700000004,-85.50490424,"Dade, Georgia, US",16116,20820
34.44244079,-84.16964071,"Dawson, Georgia, US",26108,63653
